"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","Delayed"
"2015","1","1","4","AS","98","ANC","SEA","5","2354",-11,21,15,205,194,169,1448,404,4,"430","408","N"
"2015","1","1","4","AA","2336","LAX","PBI","10","2",-8,12,14,280,279,263,2330,737,4,"750","741","N"
"2015","1","1","4","US","840","SFO","CLT","20","18",-2,16,34,286,293,266,2296,800,11,"806","811","Y"
"2015","1","1","4","AA","258","LAX","MIA","20","15",-5,15,30,285,281,258,2342,748,8,"805","756","N"
"2015","1","1","4","AS","135","SEA","ANC","25","24",-1,11,35,235,215,199,1448,254,5,"320","259","N"
"2015","1","1","4","DL","806","SFO","MSP","25","20",-5,18,38,217,230,206,1589,604,6,"602","610","Y"
"2015","1","1","4","NK","612","LAS","MSP","25","19",-6,11,30,181,170,154,1299,504,5,"526","509","N"
"2015","1","1","4","US","2013","LAX","CLT","30","44",14,13,57,273,249,228,2125,745,8,"803","753","N"
"2015","1","1","4","AA","1112","SFO","DFW","30","19",-11,17,36,195,193,173,1464,529,3,"545","532","N"
"2015","1","1","4","DL","1173","LAS","ATL","30","33",3,12,45,221,203,186,1747,651,5,"711","656","N"
"2015","1","1","4","DL","2336","DEN","ATL","30","24",-6,12,36,173,149,133,1199,449,4,"523","453","N"
"2015","1","1","4","AA","1674","LAS","MIA","35","27",-8,21,48,268,266,238,2174,746,7,"803","753","N"
"2015","1","1","4","DL","1434","LAX","MSP","35","35",0,18,53,214,210,188,1535,601,4,"609","605","N"
"2015","1","1","4","DL","2324","SLC","ATL","40","34",-6,18,52,215,199,176,1590,548,5,"615","553","N"
"2015","1","1","4","DL","2440","SEA","MSP","40","39",-1,28,107,189,198,166,1399,553,4,"549","557","Y"
"2015","1","1","4","AS","108","ANC","SEA","45","41",-4,17,58,204,194,173,1448,451,4,"509","455","N"
"2015","1","1","4","DL","1560","ANC","SEA","45","31",-14,25,56,210,200,171,1448,447,4,"515","451","N"
"2015","1","1","4","UA","1197","SFO","IAH","48","42",-6,11,53,218,217,199,1635,612,7,"626","619","N"
"2015","1","1","4","AS","122","ANC","PDX","50","46",-4,11,57,215,201,187,1542,504,3,"525","507","N"
"2015","1","1","4","DL","1670","PDX","MSP","50","45",-5,9,54,193,186,171,1426,545,6,"603","551","N"
"2015","1","1","4","NK","520","LAS","MCI","55","120",25,11,131,162,143,128,1139,539,4,"537","543","Y"
"2015","1","1","4","AA","371","SEA","MIA","100","52",-8,30,122,338,347,311,2724,933,6,"938","939","Y"
"2015","1","1","4","NK","214","LAS","DFW","103","102",-1,13,115,147,147,128,1055,523,6,"530","529","N"
"2015","1","1","4","AA","115","LAX","MIA","105","103",-2,14,117,286,276,255,2342,832,7,"851","839","N"
"2015","1","1","4","DL","1450","LAS","MSP","105","102",-3,11,113,183,163,150,1299,543,2,"608","545","N"
"2015","1","1","4","UA","1545","LAX","IAH","115","112",-3,11,123,183,175,156,1379,559,8,"618","607","N"
"2015","1","1","4","AS","130","FAI","SEA","115","107",-8,25,132,213,218,186,1533,538,7,"548","545","N"
"2015","1","1","4","NK","597","MSP","FLL","115","127",12,14,141,207,220,166,1487,527,40,"542","607","Y"
"2015","1","1","4","US","413","LAS","CLT","120","110",-10,12,122,245,224,205,1916,747,7,"825","754","N"
"2015","1","1","4","AA","2392","DEN","MIA","120","141",21,12,153,227,208,188,1709,701,8,"707","709","Y"
"2015","1","1","4","NK","168","PHX","ORD","125","237",72,9,246,204,175,156,1440,622,10,"549","632","Y"
"2015","1","1","4","AA","2211","PHX","MIA","127","116",-11,10,126,239,234,217,1972,703,7,"726","710","N"
"2015","1","1","4","DL","95","SLC","ATL","140","134",-6,43,217,215,231,182,1590,719,6,"715","725","Y"
"2015","1","1","4","NK","298","LAS","IAH","144","140",-4,10,150,170,170,148,1222,618,12,"634","630","N"
"2015","1","1","4","HA","17","LAS","HNL","145","145",0,16,201,370,385,361,2762,602,8,"555","610","Y"
